process,family,lag,radius,candidates,mean_rule_count,mean_dimension,mean_validation_rmse,mean_gaussian_kl,mean_total_kl,mean_certificate
ar2,sparse_tsk,20,5.0,25,1.0,21.0,0.8575197989655889,3.868593560799283,13.86714712270756,0.12964520327383497
garch,dense_tsk,3,1.75,15,10.666666666666666,42.666666666666664,1.0985520464525547,12.55492979115767,29.25390609847875,0.1650388653389095
garch,dense_tsk,3,2.0,25,8.8,35.2,1.3506791139574914,13.640190959149047,29.045292529424895,0.15373547949323849
garch,dense_tsk,3,2.5,25,5.2,20.8,1.5688242343267762,7.076742725863455,19.986514446123504,0.128547549834646
garch,dense_tsk,3,3.0,25,4.2,16.8,1.0598376277536072,5.196282745426583,17.412907285126686,0.12265176436307444
garch,dense_tsk,3,4.0,25,1.6,6.4,1.0511806407759086,0.7002633431776136,11.114705213421857,0.10609710460320868
garch,dense_tsk,3,5.0,25,1.0,4.0,1.0515685877472223,0.4247637253143624,10.42331728722264,0.10404184897729639
garch,dense_tsk,5,1.75,5,11.0,66.0,1.2233317624121403,16.6743972092781,33.604422576785836,0.18534898136073252
garch,dense_tsk,5,2.0,15,8.333333333333334,50.0,1.8325722494345802,17.58741430882343,32.66904719483797,0.16705175967892485
garch,dense_tsk,5,2.5,25,6.0,36.0,1.7490032497389452,11.178745738310097,24.6430352030181,0.1423970916020667
garch,dense_tsk,5,3.0,25,3.4,20.4,1.2118955636024429,4.774198414974073,16.43630521022622,0.123081225998319
garch,dense_tsk,5,4.0,25,1.0,6.0,1.0542696232816977,0.756015383178972,10.754568945087248,0.10493223796737042
garch,dense_tsk,5,5.0,25,1.0,6.0,1.0542696232816977,0.756015383178972,10.754568945087248,0.10493223796737042
garch,dense_tsk,10,1.75,5,10.0,110.0,1.642351768615007,29.961753178036503,46.19863136498429,0.22031321165856452
garch,dense_tsk,10,2.0,15,7.666666666666667,84.33333333333333,3.2170854971133336,6.569575397747594,21.18911016338884,0.15311688886463692
garch,dense_tsk,10,2.5,25,4.2,46.2,1.0799086386176417,5.075641664252741,17.292266203952842,0.12548452818239894
garch,dense_tsk,10,3.0,25,1.2,13.2,1.0619714351308813,1.7120878096184051,11.849270807638673,0.10835575555496466
garch,dense_tsk,10,4.0,25,1.0,11.0,1.0620868090667166,1.5623316657963324,11.56088522770461,0.10748938350224277
garch,dense_tsk,10,5.0,25,1.0,11.0,1.0620868090667166,1.5623316657963324,11.56088522770461,0.10748938350224277
garch,dense_tsk,15,1.75,5,11.0,176.0,4.726346341000786,23.305966065494466,40.2359914330022,0.23868875662964723
garch,dense_tsk,15,2.0,15,7.333333333333333,117.33333333333333,3.077435372007638,5.840868720742266,20.229354426196867,0.1525662256713068
garch,dense_tsk,15,2.5,25,3.4,54.4,1.0980223686511044,5.876839630039694,17.53894642529184,0.12501619012541196
garch,dense_tsk,15,3.0,25,1.0,16.0,1.064732111799525,2.278840068838578,12.277393630746856,0.11000860458644565
garch,dense_tsk,15,4.0,25,1.0,16.0,1.064732111799525,2.278840068838578,12.277393630746856,0.11000860458644565
garch,dense_tsk,15,5.0,25,1.0,16.0,1.064732111799525,2.278840068838578,12.277393630746856,0.11000860458644565
garch,dense_tsk,20,1.75,5,8.0,168.0,4.394095187709853,16.97643586037767,31.827019686205567,0.2189574335887686
garch,dense_tsk,20,2.0,10,3.5,73.5,1.0896859536135177,3.3423094895002263,15.073731002808367,0.11709439069825933
garch,dense_tsk,20,2.5,25,1.2,25.2,1.0713478546628412,2.866038425224125,13.00322142324439,0.11273756130620219
garch,dense_tsk,20,3.0,25,1.0,21.0,1.0713478546628412,2.87586871139143,12.874422273299707,0.11247917303965366
garch,dense_tsk,20,4.0,25,1.0,21.0,1.0713478546628412,2.87586871139143,12.874422273299707,0.11247917303965366
garch,dense_tsk,20,5.0,25,1.0,21.0,1.0713478546628412,2.87586871139143,12.874422273299707,0.11247917303965366
garch,fixed_k_dense_tsk,3,,150,5.833333333333333,23.333333333333332,1.2667563963701598,7.826255058350428,18.77712472016674,0.13038068590461144
garch,fixed_k_dense_tsk,5,,150,5.833333333333333,35.0,1.585505325074773,8.607598919859662,19.55846858167597,0.1356935951942401
garch,fixed_k_dense_tsk,10,,150,5.833333333333333,64.16666666666667,1.585834226571169,8.618186684713542,19.56905634652985,0.13959338737721985
garch,fixed_k_dense_tsk,15,,150,5.833333333333333,93.33333333333333,2.1254228424777724,6.959466951468226,17.910336613284535,0.1404223805170191
garch,fixed_k_dense_tsk,20,,150,5.833333333333333,122.5,1.5999144093140083,4.734922833062867,15.685792494879175,0.13299389555746094
garch,sparse_tsk,3,1.75,15,10.666666666666666,42.666666666666664,1.0957527998003695,12.323324824187548,29.022301131508634,0.16395398398259534
garch,sparse_tsk,3,2.0,25,8.8,35.2,1.497350452008246,12.416348465564445,27.8214500358403,0.15375658019961994
garch,sparse_tsk,3,2.5,25,5.2,20.8,1.5626424312548448,6.852577382708944,19.762349102968994,0.12802023807796994
