timestamp,aep,comed,dayton,pjme
2014-09-18,13546.9583333333,10389.0833333333,1818.9583333333,28140.8333333333
2014-09-19,13382.2500000000,10495.4166666667,1797.6250000000,27344.5833333333
2014-09-20,12761.9583333333,9854.0000000000,1680.7083333333,26029.2500000000
2014-09-21,12653.0833333333,8954.0000000000,1648.4583333333,27229.7083333333
2014-09-22,13236.9166666667,9973.5833333333,1771.4166666667,28431.7500000000
2014-09-23,13485.4166666667,10374.6250000000,1807.2083333333,27146.7916666667
2014-09-24,13521.7500000000,10530.1666666667,1840.9583333333,27369.9583333333
2014-09-25,13873.7500000000,10606.7916666667,1873.9166666667,27652.4583333333
2014-09-26,13803.7916666667,10856.3750000000,1877.4583333333,27428.4166666667
2014-09-27,12524.7500000000,9950.8750000000,1630.3750000000,25915.3750000000
2014-09-28,12165.0833333333,9497.0000000000,1588.0833333333,26326.4166666667
2014-09-29,14111.7083333333,11098.4166666667,1960.4583333333,29325.4166666667
2014-09-30,13762.2083333333,10164.6666666667,1837.0416666667,29607.3333333333
2014-10-01,13515.9166666667,10306.0000000000,1806.8750000000,28823.2916666667
2014-10-02,13982.7083333333,10898.6666666667,1910.7916666667,28272.4166666667
2014-10-03,13604.0833333333,10398.5000000000,1853.5416666667,27637.6250000000
2014-10-04,12054.5833333333,9334.0833333333,1573.5833333333,25163.2500000000
2014-10-05,12087.0000000000,8735.1250000000,1538.3750000000,23576.0416666667
2014-10-06,13513.7500000000,10060.0000000000,1817.5833333333,27015.0416666667
2014-10-07,13593.4583333333,10216.0000000000,1853.1250000000,27432.5833333333
2014-10-08,13151.3333333333,10177.1250000000,1822.0833333333,27748.1666666667
2014-10-09,13513.6666666667,10109.5416666667,1873.7916666667,27109.0000000000
2014-10-10,13350.6250000000,10041.3333333333,1818.8750000000,26902.9583333333
2014-10-11,12124.5416666667,9134.0833333333,1578.9583333333,24976.1250000000
2014-10-12,11941.0833333333,8646.3750000000,1551.7083333333,23940.8750000000
2014-10-13,13515.8333333333,10151.0416666667,1873.3750000000,27244.5833333333
2014-10-14,13794.6666666667,10516.6250000000,1867.0000000000,28909.3750000000
2014-10-15,13431.7083333333,10274.7083333333,1815.4583333333,30243.3750000000
2014-10-16,13531.5416666667,10259.5000000000,1821.5000000000,28638.0000000000
2014-10-17,13297.7500000000,10198.5000000000,1784.3750000000,27303.6250000000
2014-10-18,12276.3333333333,9292.4583333333,1598.6666666667,24504.7500000000
2014-10-19,12162.2916666667,8937.3750000000,1542.4166666667,23989.7083333333
2014-10-20,14129.3333333333,10185.0000000000,1849.9166666667,27767.4583333333
2014-10-21,14048.8333333333,10342.2083333333,1883.0000000000,27550.9583333333
